Key,English(en),German(de),Hindi(hi),Notes(no),
level5.Dialogue1.3.C4,What is a Password Manager?,,,Aisha Bajaj,
level5.Dialogue1.4A.P,"A password manager is a program that allows 
you to store, generate and manage their 
passwords ",,,,
level5.Dialogue1.4B.P,"Basically password manager will create complex
passwords automatically ",,,,
level5.Dialogue1.5A.C4,That sounds useful!,,,Aisha Bajaj,
level5.Dialogue1.5B.C4,Can you help me with it?,,,Aisha Bajaj,
level5.Dialogue1.6.P,Sure!,,,,
level5.Dialogue1.7A.C4,I’ll share my screen now,,,Aisha Bajaj,
level5.Dialogue1.7B.C4,I’ll fill my name and email quickly,,,Aisha Bajaj,
level5.Dialogue1.7B.C4,What is this master password?,,,Aisha Bajaj,
level5.Dialogue1.7B.C4,Is it any different from a regular password?,,,Aisha Bajaj,
level5.Dialogue1.8A.P,A master password is same as a regular password,,,,
level5.Dialogue1.8B.P,"But in password manager it is used to save all your 
passwords and data which only you can access it",,,,
level5.Dialogue1.8C.P,"Your master password should be unique and memorable so 
that only you can access it",,,,
level5.Dialogue1.9.C4,"Okay, what should I use in my master password?",,,Aisha Bajaj,
,,,,,
level5.Option1.1.P,My Name,,,,
level5.ErrorMessage1.1,"Never use your personal name or someone you 
know in your password!",,,,
level5.Option1.2.P,My Email,,,,
level5.ErrorMessage1.2,Never use your email in your password!,,,,
,,,,,
level5.Option1.3.P,Random Words,,,,
level5.Dialogue1A.10.P,"Use very unique and random words like Honey, raid, conductor, 
trafficlights etc..",,,,
level5.Dialogue1B.10.P,"But do not use very common words like password, dragon, 
qwerty and many other as these are the mostly used password. ",,,,
level5.Dialogue1C.10.P,"Use both Uppercase and Lowercase 
letters in the password",,,,
level5.Dialogue1.11A.C4,"Okay, I used random words with both Uppercase 
and Lowercase letters",,,Aisha Bajaj,
level5.Dialogue1.11B.C4,"Now, what else should I use?",,,Aisha Bajaj,
,,,,,
level5.Dialogue1.12.P,You can use numbers,,,,
level5.Dialogue1.13.C4,How should I use numbers?,,,Aisha Bajaj,
,,,,,
level5.Option2.1.P,123456,,,,
level5.ErrorMessage2.1,"Never use continuous numbers like 123456,11111, etc
in your password!",,,,
,,,,,
level5.Option2.2.P,Random Numbers,,,,
level5.Dialogue1.14A.P,Use random numbers in your password,,,,
level5.Dialogue1.14B.P,"You can use them at the start, middle or at the
 end of your password",,,,
level5.Dialogue1.15.C4,I have added numbers to my password,,,Aisha Bajaj,
,,,,,
level5.Option2.3.P,My Date of Birth,,,,
level5.ErrorMessage2.3,"Never use your birthday, phone number or other actual 
combination of numbers etc in your password!",,,,
,,,,,
level5.Dialogue1.16.C4,"Are there any other tricks I can use to improve my 
password strength?",,,,
level5.Dialogue1.17A.P,"Use different symbols like @,$,+,(,:, etc
and mix them into your password",,,,
level5.Dialogue1.17B.P,Avoid putting all of them in the same place,,,,
level5.Dialogue1.18A.C4,"Okay, I have added symbols to my password",,,Aisha Bajaj,
level5.Dialogue1.18B.C4,I have done everything you said,,,Aisha Bajaj,
level5.Dialogue1.18C.C4,Now how long should my password be?,,,Aisha Bajaj,
,,,,,
level5.Option3.1.P,Maximum of 8 characters,,,,
level5.ErrorMessage3.1,Your password is weak!,,,,
,,,,,
level5.Option3.2.P,Greater than 12 characters,,,,
level5.Dialogue1.19.P,"Passwords should be longer than 12 because they are 
strong and cannot be easily guessed or cracked",,,,
level5.Dialogue1.20A.C4,Okay! It’s finally done,,,Aisha Bajaj,
level5.Dialogue1.20B.C4,"But the password I have created is very complex and 
I don’t think I can remember this",,,Aisha Bajaj,
level5.Dialogue1.20C.C4,This is my password - “8floWourr$#watEr”,,,Aisha Bajaj,
level5.Dialogue1.20D.C4,Is there any easier way to do this?,,,Aisha Bajaj,
level5.Dialogue1.21A.P,"Your password is strong, complex and unique but it can 
be hard to remember.",,,,
level5.Dialogue1.21B.P,And do not share your password with anyone not even with me.,,,,
level5.Dialogue1.21C.P,"You can use Passphrase, it is similar to passwords but they 
are very long and can have 20-30 characters.",,,,
level5.Dialogue1.21D.P,You can make a story and use it as a password.,,,,
level5.Dialogue1.21E.P,"Example - You kicked a ball that hit a doorbell and then you 
went to hide",,,,
level5.Dialogue1.21F.P,Then the passphrase could be - Kick8all-hit-doorbell-hide,,,,
level5.Dialogue1.21G.P,"Now this is something unique to you and only you know 
this happened.",,,,
level5.Dialogue1.21H.P,"This will be easier to remember and it is much longer and 
stronger than your regular password",,,,
level5.Dialogue1.21I.P,Passphrases should have at least 4 random words.,,,,
level5.Dialogue1.21J.P,"You can add symbols,numbers in your passphrase to make it
even more stronger",,,,
level5.Dialogue1.22A.C4,Wow! This is very useful and now I can remember my password.,,,Aisha Bajaj,
level5.Dialogue1.22B.C4,"I learned a lot from you, Thank you very much for your help!",,,Aisha Bajaj,
,,,,,
level5.Option3.3.P,Doesn’t matter,,,,
level5.ErrorMessage3.3,Password still weak! ,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
infoUI.ContinueButton,Continue,Weiter,,,
,,,,,
infoUI.chapter1,"In 2021 a study by NCSC UK concluded that:

15% of internet-users use their pets name in their passwords
14% use their family members names
13% use a significant date
6% use their favorite sports team","In 2021 hat eine Studie der NCSC UK herausgefunden, dass:

15% der befragten Internet-Nutzer den Namen ihres Haustieres in Passwörtern verwenden
14% nutzen den/die Namen von Familienmitgliedern
13% nutzen ein besonderes Datum für Zahlen
6% nutzen ihren bevorzugten Sportverein oder Team",,,
infoUI.chapter1.source,"Paws-word change recommended on National Pet Day (April 9th, 2021), National Cyber Security Center U.K., accessed 11 April 2021, ","Paws-word change recommended on National Pet Day (2021, 9. April). National Cyber Security Center U.K.; Stand: 11.4.2021 auf ",,,
infoUI.chapter1.source.URL,https://www.ncsc.gov.uk/news/national-pet-day-password-advice,https://www.ncsc.gov.uk/news/national-pet-day-password-advice,,,
,,,,,
infoUI.chapter2,"A report compiled for Online-Education.net © concluded that:

28% of social-media-users share their feeds / wall with more than just their friends
63% do not customize their privacy settings for apps  
20% do not use privacy controls at all

""fun""-fact:

78% of ex-burglars interviewed in the UK in 2012 believe that thieves use social media to identify targets

","Ein für Online-Education.net © zusammengetragener Bericht kam zu folgenden Erkenntnissen:

28% der befragten Nutzer von sozialen Netzwerken teilen den Zugang zu ihrem ""Feed"" / ""Wall"" mit mehr Personen als nur ihren Freunden
63% stellen die Privatsphäre-Optionen ihrer Apps nicht um
20% benutzen generell keine Privatsphäre-Einstellungen

""fun""-fact:

78% von in 2012 in Groß Britanien befragten, ehemaligen Einbrechern ging davon aus, dass (aktive) Diebe Soziale Medien nutzen um Ziele zu identifizieren",,,
infoUI.chapter2.source,"Oversharing and Social Media (Jan. 7th, 2020), Illinois workNet Center, accessed 11 April 2021, ","Oversharing and Social Media (2020, 7. Januar). Illinois workNet Center; Stand: 11.4.2021 auf",,,
infoUI.chapter2.source.URL,https://apps.illinoisworknet.com/ArticleViewer/Article/Index/257/%7Blink%7D,https://apps.illinoisworknet.com/ArticleViewer/Article/Index/257/%7Blink%7D,,,
,,,,,
infoUI.chapter3,"1) 15% People still rely on writing down
their passwords on a piece of paper
or sticker near to their device.
2) football ranked 10 in the worst password of 2014",,,,
infoUI.chapter3.source,"1) The Kaspersky Global Privacy Report 2020
2) A Brief History of the Password Problem, 
Part 4: Worst Passwords of 2014",,,,
infoUI.chapter3.source.URL,"https://www.kaspersky.com/blog/global-privacy-report-2020/
https://www.teamsid.com/worst-passwords-of-2014/",,,,
,,,,,
infoUI.chapter4,"22% US adults have used their name in their password
52% Reuse the same password for all multiple
accounts ",,,,
infoUI.chapter4.source,"Google/Harris Poll 
The United States of P@ssw0rd$
Online Security Survey",,,,
infoUI.chapter4.source.URL,"https://services.google.com/fh/files/blogs/google_security_infographic.pdf
https://storage.googleapis.com/gweb-uniblog-publish-prod/documents/PasswordCheckup-HarrisPoll-InfographicFINAL.pdf",,,,
,,,,,
infoUI.chapter5,"15% Americans use password manager
55% Americans could explain what a password manager
does",,,,
infoUI.chapter5.source,"Google/Harris Poll 
The United States of P@ssw0rd$
Online Security Survey",,,,
infoUI.chapter5.source.URL,"https://services.google.com/fh/files/blogs/google_security_infographic.pdf
https://storage.googleapis.com/gweb-uniblog-publish-prod/documents/PasswordCheckup-HarrisPoll-InfographicFINAL.pdf",,,,
